epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,3261.25,1.31662,1.22124,1.40039,0.49395,0.62817,0.45972,0.14437,2.21025,2.35019,2.98568,0.000740508,0.000740508,0.000740508
148,3286.74,1.31981,1.21132,1.39124,0.51448,0.64286,0.5372,0.19429,2.18038,2.1096,2.89854,0.000735792,0.000735792,0.000735792
149,3308.9,1.35153,1.23721,1.44192,0.58857,0.35714,0.41858,0.15428,2.3132,2.47316,3.07538,0.000731076,0.000731076,0.000731076
150,3330.27,1.32855,1.21233,1.41604,0.63385,0.61943,0.55452,0.22937,1.93234,2.08768,2.65548,0.000726361,0.000726361,0.000726361
151,3351.84,1.29766,1.15289,1.38953,0.72901,0.42857,0.40147,0.17754,2.11751,2.50081,2.81174,0.000721645,0.000721645,0.000721645
152,3373.01,1.30103,1.13713,1.37298,0.48552,0.64286,0.53427,0.2191,2.2972,2.43425,3.01578,0.000716929,0.000716929,0.000716929
153,3394.38,1.35178,1.18746,1.42921,0.62362,0.5,0.41354,0.13166,2.2951,2.511,2.96086,0.000712214,0.000712214,0.000712214
154,3417.87,1.32655,1.12792,1.40715,0.579,0.42857,0.47875,0.21592,2.2525,2.02135,2.86642,0.000707498,0.000707498,0.000707498
155,3439.21,1.29912,1.14171,1.38856,0.53305,0.57143,0.44867,0.17087,2.0606,2.1408,2.79148,0.000702782,0.000702782,0.000702782
156,3465.33,1.29311,1.12592,1.37996,0.431,0.59597,0.48199,0.21417,2.04888,2.21517,2.90751,0.000698066,0.000698066,0.000698066
157,3490,1.31298,1.17106,1.38856,0.47653,0.35714,0.40656,0.19488,2.02752,2.35217,2.81047,0.000693351,0.000693351,0.000693351
158,3511.46,1.31447,1.18815,1.39816,0.34992,0.5,0.37645,0.16816,2.1671,2.30462,2.9699,0.000688635,0.000688635,0.000688635
159,3538.7,1.30465,1.14328,1.37575,0.58511,0.64286,0.49408,0.20755,2.14585,1.90712,2.95721,0.000683919,0.000683919,0.000683919
160,3565.41,1.27383,1.13171,1.37725,0.63074,0.57143,0.5967,0.21935,2.07339,1.81039,3.01292,0.000679204,0.000679204,0.000679204
161,3592.07,1.31033,1.16539,1.40098,0.38457,0.42857,0.40463,0.18559,1.91455,2.41539,2.75936,0.000674488,0.000674488,0.000674488
162,3614.94,1.28938,1.10349,1.35776,0.65024,0.71429,0.54755,0.20302,2.2972,2.26114,3.1311,0.000669772,0.000669772,0.000669772
163,3636.28,1.27636,1.08257,1.36358,0.66375,0.71429,0.62891,0.23657,2.09173,2.12905,2.94618,0.000665057,0.000665057,0.000665057
164,3658.08,1.28275,1.12632,1.39077,0.62104,0.70298,0.54368,0.20039,2.16635,1.89206,3.02687,0.000660341,0.000660341,0.000660341
165,3679.24,1.28023,1.12096,1.39279,0.65719,0.78571,0.63051,0.21695,2.06022,1.78496,2.89802,0.000655625,0.000655625,0.000655625
166,3700.44,1.25933,1.1009,1.35265,0.61699,0.5,0.49796,0.19419,1.9744,2.16708,2.85699,0.000650909,0.000650909,0.000650909
167,3727.41,1.23623,1.09152,1.34281,0.40027,0.52528,0.40385,0.19249,1.96745,2.25259,2.74675,0.000646194,0.000646194,0.000646194
168,3748.89,1.27491,1.13613,1.37132,0.57692,0.71429,0.54218,0.19005,2.11945,2.03481,2.78044,0.000641478,0.000641478,0.000641478
169,3774.17,1.27215,1.11824,1.36507,0.66711,0.71429,0.61776,0.17606,2.30152,1.98791,3.03088,0.000636762,0.000636762,0.000636762
170,3801.26,1.27323,1.12689,1.37162,0.5806,0.6931,0.57663,0.1939,2.12453,2.11217,2.84526,0.000632047,0.000632047,0.000632047
171,3824.08,1.24992,1.14638,1.34371,0.83849,0.5,0.64067,0.20931,2.17127,1.86909,3.01732,0.000627331,0.000627331,0.000627331
172,3850.06,1.26714,1.09652,1.3571,0.67114,0.5,0.52839,0.18161,2.24436,2.04738,2.98395,0.000622615,0.000622615,0.000622615
173,3871.83,1.2751,1.10391,1.36369,0.57979,0.49332,0.42097,0.16478,2.12768,2.27207,2.72848,0.0006179,0.0006179,0.0006179
174,3897.56,1.24916,1.09022,1.34312,0.37831,0.57143,0.42022,0.16539,2.15487,2.01603,2.73407,0.000613184,0.000613184,0.000613184
175,3919.67,1.24928,1.08792,1.35832,0.47025,0.42857,0.45828,0.16572,2.14439,2.02603,2.87681,0.000608468,0.000608468,0.000608468
176,3946.73,1.27,1.09937,1.37936,0.55464,0.57143,0.55059,0.18586,2.20103,1.94803,2.82851,0.000603752,0.000603752,0.000603752
177,3968.7,1.27375,1.12213,1.37103,0.65362,0.42857,0.48126,0.19345,2.09682,1.97814,2.79644,0.000599037,0.000599037,0.000599037
178,3991.64,1.22863,1.07021,1.33488,0.46525,0.64286,0.50671,0.22564,2.04397,2.14017,2.80208,0.000594321,0.000594321,0.000594321
179,4018.22,1.23459,1.03399,1.33179,0.62091,0.64286,0.60431,0.18824,2.19578,2.08718,2.95051,0.000589605,0.000589605,0.000589605
180,4045.12,1.24156,1.05625,1.33151,0.58057,0.64286,0.57717,0.189,2.12714,2.10788,2.89338,0.00058489,0.00058489,0.00058489
181,4066.84,1.21514,1.03307,1.31074,0.73154,0.77899,0.68315,0.24494,2.09176,2.06063,2.89623,0.000580174,0.000580174,0.000580174
